datetime,PM2.5,NO2,CO,u10,v10,t2m,ws10,wd10,rh,sp,tp,ssrd,strd,ws100,wd100,blh,O3
2022/1/6 9:00,8.4,48.8,0.45999998,-2.7442105,-0.83368796,20.4795,2.8812954,73.207664,91.71959,1014.906,0,658884,1244943,5.7234645,103.09639,310.5069,45
2022/1/6 10:00,10.6,14.2,0.43999997,-4.274041,-1.0881338,21.554909,4.421396,75.76383,85.175995,1015.00397,0.000743195,1348737,1275066.5,5.2977743,113.522446,501.75616,66
2022/1/6 11:00,15.2,10.8,0.43999997,-4.6586685,-1.6971319,22.195297,4.963981,70.01991,80.984375,1015.05945,0.000744127,1754563.4,1321356.8,4.7329893,118.2839,598.3356,93.6
2022/1/6 12:00,20.2,7,0.43999997,-4.5402904,-2.9769082,22.425201,5.431778,56.75968,79.30306,1014.9105,0.026302412,1899051.8,1358471.8,4.403586,122.40499,640.40765,110.8
2022/1/6 13:00,20,5.2,0.42,-4.9127827,-4.336074,22.352753,6.5576963,48.543804,80.41208,1014.2301,0.11563022,2335937,1327848.2,4.09274,123.61788,584.96844,117.6
2022/1/6 14:00,19.8,4.2,0.42,-5.4438357,-4.5407996,21.841774,7.0973783,50.138645,81.74492,1013.3274,0.11960324,2320723,1337162.2,3.4208553,118.0791,576.9329,123.6
2022/1/6 15:00,17.2,4.4,0.42,-5.2953205,-3.5802832,21.966385,6.395879,55.935387,81.39609,1012.7647,0.06451551,1746461.8,1375690,3.0323718,102.737564,547.2349,120.8
2022/1/6 16:00,17.6,6.4,0.42,-5.540193,-3.0646586,21.451546,6.3327537,61.04878,84.150566,1012.6291,0.009924173,1216041.8,1324885,3.193179,78.37962,521.00476,125.2
2022/1/6 17:00,18.4,7.2,0.44,-5.7206936,-2.3645067,21.287354,6.190521,67.54877,84.151726,1012.96704,0.000247732,900598.25,1323472.5,4.109686,69.03349,491.04718,126.2
2022/1/6 18:00,20,7.2,0.5,-5.2057133,-1.7822926,20.889053,5.5023823,71.0978,86.03905,1013.4229,0.000248663,284295,1329259.2,5.9092865,73.03806,446.4085,130.8
2022/1/6 19:00,25.2,9,0.54,-4.8937364,-1.5066118,20.420258,5.1205683,72.87219,88.580246,1013.97437,0,3150,1294119.2,6.370014,74.3553,446.0419,133.6
2022/1/6 20:00,26.2,9.8,0.58000004,-5.142466,-1.5248871,20.300812,5.36379,73.48318,88.76099,1014.7505,0,0,1318816.5,6.1614127,71.55779,470.91245,134.6
2022/1/6 21:00,29.4,9,0.56000006,-5.561008,-1.264818,20.164948,5.7030344,77.18783,89.19117,1015.26843,0,0,1277325.5,6.4898863,63.087975,493.3998,137.6
2022/1/6 22:00,30.8,10,0.5,-5.8301506,-0.9074544,20.189735,5.9003515,81.153885,88.75562,1015.47754,0,0,1274644,7.45003,59.97945,503.0394,121.8
